protocol,N,bootstrap_runs,valid_plans_median,valid_plans_min,mae_mean,mae_median,mae_p25,mae_p75,mae_iqr,ks_mean,ks_median,ks_p25,ks_p75,ks_iqr,wasserstein_mean,wasserstein_median,wasserstein_p25,wasserstein_p75,wasserstein_iqr,bottom_decile_agreement_mean,bottom_decile_agreement_median,bottom_decile_agreement_p25,bottom_decile_agreement_p75,bottom_decile_agreement_iqr
Brain SRT 5fx,30,50,20.0,20,0.060652460863127,0.0582580956625074,0.0437965460228887,0.0725669191919191,0.0287703731690304,0.216,0.2,0.1999999999999999,0.25,0.05,0.0548626314938746,0.0505810970113029,0.0365721101681779,0.0698212869646693,0.0332491767964913,0.966,1.0,0.9,1.0,0.0999999999999999
Breast 40.05Gy  4fields Left,10,50,64.0,64,0.0626793254235838,0.0504843127345052,0.036839951267474,0.0733330960024679,0.0364931447349939,0.2646875,0.2265625,0.14453125,0.34375,0.19921875,0.0541927113008557,0.0410935082067229,0.0263563985021341,0.0693255790805066,0.0429691805783725,0.96875,0.96875,0.953125,1.0,0.046875
Breast 40.05Gy  4fields Left,20,50,64.0,64,0.0434803454768745,0.0378365662012896,0.0271202050359102,0.0529262873765232,0.025806082340613,0.201875,0.1796875,0.125,0.25,0.125,0.0395004704662481,0.0329777339504851,0.021354855896668,0.0514621615168499,0.0301073056201819,0.9840625,0.984375,0.96875,1.0,0.03125
Breast 40.05Gy  4fields Left,30,50,64.0,64,0.0353182766252712,0.0306150014489645,0.0255210618393542,0.041842557578198,0.0163214957388438,0.1646875,0.140625,0.109375,0.203125,0.09375,0.029311541464597,0.0249051839068733,0.0161766670457913,0.036917555699856,0.0207408886540647,0.9809375,0.96875,0.96875,1.0,0.03125
Breast 40.05Gy  4fields Left,50,50,64.0,64,0.0278049143893592,0.0265954394395826,0.0203571345540167,0.032020326224978,0.0116631916709612,0.149375,0.140625,0.09375,0.1875,0.09375,0.0238778012224616,0.0225485372814842,0.0156963478485227,0.0290669767516021,0.0133706289030793,0.99,1.0,0.96875,1.0,0.03125
Breast 40.05Gy  4fields Left,75,50,64.0,64,0.0236743410637347,0.018854859303548,0.0148887529687706,0.0309253199469174,0.0160365669781468,0.1234375,0.109375,0.078125,0.16796875,0.08984375,0.0194903980547391,0.0143473153511568,0.0100067938727086,0.0261188863906553,0.0161120925179467,0.988125,1.0,0.96875,1.0,0.03125
Breast 40.05Gy  4fields Left,100,50,64.0,64,0.019458881363647,0.0173310614182236,0.0146510969634832,0.0220836547148373,0.0074325577513541,0.110625,0.109375,0.06640625,0.140625,0.07421875,0.0160499542112282,0.0136631811155213,0.0093504601910623,0.0200109496121283,0.010660489421066,0.993125,1.0,1.0,1.0,0.0
Breast 40.05Gy Tangent Right,10,50,16.0,16,0.148,0.1425,0.1055555555555555,0.1841666666666667,0.0786111111111111,0.35625,0.375,0.25,0.375,0.125,0.148,0.1425,0.1055555555555555,0.1841666666666667,0.0786111111111111,0.85625,0.875,0.8125,0.875,0.0625
Breast 42.56Gy Tangent Right,10,50,78.0,78,0.0667139528962694,0.0531453241958384,0.0391670332814833,0.0822921843034131,0.0431251510219297,0.2423076923076923,0.2051282051282051,0.1698717948717949,0.2820512820512821,0.1121794871794871,0.0599153094340466,0.0477898792198326,0.0322393495545926,0.0771325619005187,0.0448932123459261,0.9523076923076924,0.9615384615384616,0.9487179487179488,0.9743589743589745,0.0256410256410256
Breast 42.56Gy Tangent Right,20,50,78.0,78,0.0393871225335675,0.031118141082103,0.0255195315631342,0.0459927207897683,0.0204731892266341,0.1648717948717948,0.1474358974358974,0.1153846153846153,0.2051282051282051,0.0897435897435897,0.0342511706774666,0.0254315955924704,0.0193433196819282,0.0450759834592413,0.025732663777313,0.9638461538461536,0.9615384615384616,0.9487179487179488,0.9743589743589745,0.0256410256410256
